date,px_3m,px_cash,curve_cash_minus_3m,curve_z120,trend_signal,hook_signal,ret_1d,position_trend,position_hook,log_mom_20d,log_mom_60d,log_mom_120d
2022-01-19,9785,22.5,-9762.5,-1.508801562091461,-0.0,0.0,0.00959554271564178,-0.0,0.0,0.01752622180729655,0.018566804627519636,0.026615768795040594
2022-01-20,9906,28.25,-9877.75,-2.009475833602498,0.0,1.0,0.01236586612161461,0.0,1.0,0.03325429570511557,0.02504347163067351,0.04754926269212068
2022-01-21,9922,43.0,-9879.0,-1.9727163919695745,0.0,1.0,0.0016151827175450162,0.0,1.0,0.036539368620752105,0.030910249201241947,0.038213359386218226
2022-01-24,9775,35.0,-9740.0,-1.304952728615793,0.0,1.0,-0.014815561378754283,0.0,1.0,0.021612960613324246,0.029589493249592938,0.04573600932268429
2022-01-25,9710,34.75,-9675.25,-0.9941931840461556,0.0,0.0,-0.006649616368286426,0.0,0.0,0.014941137045128382,0.019761433499959527,0.028730103482719958
2022-01-26,9926,36.0,-9890.0,-1.9326150193614648,1.0,0.0,0.02224510813594227,1.0,0.0,0.03694243190714399,0.03443668826990213,0.049142835659597706
2022-01-27,9835,54.75,-9780.25,-1.4183781129444346,0.0,1.0,-0.009167842031029605,0.0,1.0,0.027732306582917147,0.02731424637615955,0.030558793677951387
2022-01-28,9622,49.0,-9573.0,-0.48607710930548054,0.0,0.0,-0.021657346212506368,0.0,0.0,-0.0062163482402406356,0.02015604663189577,0.01666268575116626
2022-01-31,9539,72.0,-9467.0,-0.009989731012978308,1.0,0.0,-0.008626065267096195,1.0,0.0,-0.014879833354431543,-0.00010482729712415813,0.01425352748524784
2022-02-01,9661,41.0,-9620.0,-0.6854733469761248,-1.0,0.0,0.012789600587063576,-1.0,0.0,0.0032139367253384106,0.00010351431094596453,0.03058406628504164
2022-02-02,9845,38.25,-9806.75,-1.4930458805577196,1.0,0.0,0.019045647448504344,1.0,0.0,0.008773775931764729,0.02833050662622599,0.07124455211870512
2022-02-03,9755,36.0,-9719.0,-1.1065591715443963,0.0,0.0,-0.009141696292534252,0.0,0.0,0.02019224701176462,0.01289674826504033,0.10484808930789975
2022-02-04,9835,29.0,-9806.0,-1.502867523578849,0.0,0.0,0.008200922603792904,0.0,0.0,0.02491378600521195,0.0224150861106776,0.09608322891109541
2022-02-07,9815,29.25,-9785.75,-1.3841773338291004,0.0,1.0,-0.0020335536349771477,0.0,1.0,0.017886990046181127,0.008492402807148207,0.06231989394391057
2022-02-08,9718,28.25,-9689.75,-0.9166094151529302,0.0,0.0,-0.009882832399388697,0.0,0.0,0.008888947417245994,0.007021920632816663,0.043320482561254384
2022-02-09,9841,44.0,-9797.0,-1.3953440191039035,1.0,0.0,0.012656925293270227,1.0,0.0,-0.009003146140232753,0.035791987652599215,0.04840409908219158
2022-02-10,10181,51.0,-10130.0,-2.8300239482794662,0.0,0.0,0.03454933441723407,0.0,0.0,0.021444284460300646,0.07875028452777032,0.0887898861029641
2022-02-11,10000,33.75,-9966.25,-2.032801730279645,0.0,1.0,-0.01777821432079363,0.0,1.0,0.011566636371465511,0.04656763581633485,0.06774365208651963
2022-02-14,9840,64.5,-9775.5,-1.1612468483577298,0.0,1.0,-0.016000000000000014,0.0,1.0,0.018462062839735352,0.023131332023418927,0.05161427015663584
2022-02-15,9960,41.0,-9919.0,-1.75959154341693,0.0,0.0,0.012195121951219523,0.0,0.0,0.027276268642227614,0.024185712973243116,0.05171612737482285
2022-02-16,10010,42.25,-9967.75,-1.9255772702656,0.0,1.0,0.005020080321285203,0.0,1.0,0.022733992479089596,0.022223136784710256,0.07249550203815361
2022-02-17,9900,53.0,-9847.0,-1.3758666910508472,0.0,1.0,-0.01098901098901095,0.0,1.0,-0.0006058770255017225,0.0005051780860151107,0.056730697836849704
2022-02-18,9975,54.0,-9921.0,-1.658753197794535,0.0,0.0,0.007575757575757569,0.0,0.0,0.0053274488970700105,0.04668711397265326,0.0623554421303779
2022-02-21,9910,48.0,-9862.0,-1.3812308326492246,0.0,1.0,-0.006516290726817031,0.0,1.0,0.013716242470467191,0.030740125359695534,0.05155887747678057
2022-02-22,9951,47.25,-9903.75,-1.5273044861214549,0.0,0.0,0.004137235116044469,0.0,0.0,0.024516766329791526,0.0453291720757261,0.06336679639227374
2022-02-23,9965,40.5,-9924.5,-1.5825330077598498,0.0,1.0,0.0014068937795197467,0.0,1.0,0.003921376499509021,0.046735077107459035,0.07121740686664875
2022-02-24,9935,54.5,-9880.5,-1.3729902592931738,0.0,1.0,-0.0030105368790768194,0.0,1.0,0.010116424162757683,0.053122635937249404,0.057377508859966155
2022-02-25,9862,45.0,-9817.0,-1.0942804381657152,0.0,0.0,-0.007347760442878659,0.0,0.0,0.024636844524672463,0.04214528569151352,0.03382463101930039
2022-02-28,9945,35.5,-9909.5,-1.4553715971937242,0.0,0.0,0.008416142770229174,0.0,0.0,0.04168125414286445,0.04788559603900512,0.031148803683481382
2022-03-01,9948,30.5,-9917.5,-1.4597750214261591,0.0,0.0,0.0003016591251885359,0.0,0.0,0.02927436340578578,0.03498362269852562,0.054961155983182554
2022-03-02,10220,28.25,-10191.75,-2.4843181480508396,0.0,0.0,0.02734217933252925,0.0,0.0,0.03738287268446941,0.06623598188334208,0.0725286088351659
2022-03-03,10420,32.5,-10387.5,-3.096864107531137,0.0,1.0,0.019569471624266255,0.0,1.0,0.06594706225014625,0.08645316604117831,0.10089194773694915
2022-03-04,10440,28.0,-10412.0,-3.0361386568991544,0.0,1.0,0.0019193857965451588,0.0,1.0,0.0596971306134703,0.09109493849900382,0.09888937442111753
2022-03-07,10720,-26.0,-10746.0,-3.963492325316622,0.0,1.0,0.026819923371647514,0.0,1.0,0.08819932791423157,0.1201879774508382,0.1603264269751068
2022-03-08,10250,-48.25,-10298.25,-2.361426358874518,0.0,1.0,-0.043843283582089554,0.0,1.0,0.053297869600705906,0.0780933893174868,0.11823435699873572
2022-03-09,10070,-37.5,-10107.5,-1.6796111108865386,0.0,1.0,-0.017560975609756113,0.0,1.0,0.023003374813622517,0.08116051192580188,0.08536968116443729
