date,eq_trend,eq_hook,eq_combo
2022-09-28,1.2535239487528782,1.2764935200537488,1.284679866388467
2022-09-29,1.2535239487528782,1.2764935200537488,1.284679866388467
2022-09-30,1.2535239487528782,1.2764935200537488,1.284679866388467
2022-10-03,1.2535239487528782,1.2764935200537488,1.284679866388467
2022-10-04,1.2535239487528782,1.2764935200537488,1.284679866388467
2022-10-05,1.2535239487528782,1.2764935200537488,1.284679866388467
2022-10-06,1.2454556302582465,1.2764935200537488,1.2805454394650821
2022-10-07,1.2357745839538685,1.2764935200537488,1.275568538083316
2022-10-10,1.2422642246082265,1.2764935200537488,1.2789178469093965
2022-10-11,1.248021231587888,1.2764935200537488,1.281881282072875
2022-10-12,1.2479086983807322,1.2764935200537488,1.2818234889006863
2022-10-13,1.250378086082362,1.2764935200537488,1.283091738398129
2022-10-14,1.2467955310621512,1.2764935200537488,1.281253595679557
2022-10-17,1.2468788827768678,1.2764935200537488,1.281296423345171
2022-10-18,1.2390388477797802,1.2764935200537488,1.2772682017835475
2022-10-19,1.2454906968308403,1.2764935200537488,1.2805936591129898
2022-10-20,1.2453769766407503,1.2764935200537488,1.2805351964706302
2022-10-21,1.2366230054257428,1.2764935200537488,1.2760346442442894
2022-10-24,1.236512067067135,1.2764935200537488,1.2759774072414445
2022-10-25,1.2415299118196923,1.2764935200537488,1.2785664060502044
2022-10-26,1.2414165949005946,1.2764935200537488,1.2785080573931902
2022-10-27,1.2444166252483475,1.2764935200537488,1.2800528905248647
2022-10-28,1.2305328444851427,1.2764935200537488,1.272912205750661
2022-10-31,1.2388573678090158,1.2764935200537488,1.2772178150619051
2022-11-01,1.2231257178153692,1.2764935200537488,1.2691084296902302
2022-11-02,1.2230497140326997,1.2764935200537488,1.2690689991395232
2022-11-03,1.2283924366108205,1.2764935200537488,1.271840874851975
2022-11-04,1.1905564583287636,1.2764935200537488,1.2522537533894316
2022-11-07,1.1982792559145792,1.2764935200537488,1.2563152584931374
2022-11-08,1.2068301764416467,1.2764935200537488,1.2607977912079833
2022-11-09,1.205244665558805,1.2764935200537488,1.2599695849458077
2022-11-10,1.2114211208123753,1.2764935200537488,1.2631980355603016
2022-11-11,1.228489584285571,1.2764935200537488,1.272097025828407
2022-11-14,1.2208678063848966,1.2764935200537488,1.2681508625385443
2022-11-15,1.2201810286936625,1.2764935200537488,1.2677941745675143
2022-11-16,1.21552317373106,1.2764935200537488,1.2653743691252473
2022-11-17,1.207363836556834,1.2764935200537488,1.26112738463641
2022-11-18,1.2018848380576068,1.2764935200537488,1.2582658963101312
2022-11-21,1.2087441169860045,1.2764935200537488,1.2618564219892927
2022-11-22,1.2046345325515213,1.2764935200537488,1.2597113420515758
2022-11-23,1.2049156385604174,1.2764935200537488,1.2598583212465748
2022-11-24,1.204915392199273,1.2764935200537488,1.2598581924491188
2022-11-25,1.2061007148992384,1.2764935200537488,1.2604778784967514
2022-11-28,1.20401276022376,1.2764935200537488,1.2593868333430454
