dt,z,signal_raw,signal_exec,position_vt
2014-10-27,-0.8443638330254986,-1.0,-1.0,-0.6192949149949653
2014-10-28,-0.5573294777519264,0.0,-1.0,-0.6192949149949653
2014-10-29,-0.4659325563826213,0.0,0.0,0.0
2014-10-30,-0.7848260758044199,-1.0,0.0,0.0
2014-10-31,-0.9751110382531774,-1.0,0.0,0.0
2014-11-03,-0.8600264912659789,-1.0,0.0,0.0
2014-11-04,-1.1666403276866713,-1.0,0.0,0.0
2014-11-05,-1.2015597137938552,-1.0,-1.0,-0.6295288263281991
2014-11-06,-1.0973195043633155,-1.0,-1.0,-0.6295288263281991
2014-11-07,-0.8523731259463346,-1.0,-1.0,-0.6295288263281991
2014-11-10,-1.0614860598918816,-1.0,-1.0,-0.6297222150355822
2014-11-11,-0.9369662758703882,-1.0,-1.0,-0.6297222150355822
2014-11-12,-0.9812570320998034,-1.0,-1.0,-0.6485783836212834
2014-11-13,-1.0726915893978168,-1.0,-1.0,-0.6485783836212834
2014-11-14,-0.8588291771920139,-1.0,-1.0,-0.6485783836212834
2014-11-17,-0.8569747045802963,-1.0,-1.0,-0.6616028803387364
2014-11-18,-1.163466820185517,-1.0,-1.0,-0.6616028803387364
2014-11-19,-0.9236740817764575,-1.0,-1.0,-0.6589160555132776
2014-11-20,-1.0029661882023087,-1.0,-1.0,-0.6589160555132776
2014-11-21,-0.7398284109761646,-1.0,-1.0,-0.6589160555132776
2014-11-24,-0.9466763635466293,-1.0,-1.0,-0.7682253215604665
2014-11-25,-1.2343618954246292,-1.0,-1.0,-0.7682253215604665
2014-11-26,-1.3745160433465309,-1.0,-1.0,-0.8181809046776928
2014-11-27,-1.4208802714397784,-1.0,-1.0,-0.8181809046776928
2014-11-28,-2.302720970918267,-1.0,-1.0,-0.8181809046776928
2014-12-01,-1.850222795446987,-1.0,-1.0,-0.6775771718798539
2014-12-02,-1.9830457823092542,-1.0,-1.0,-0.6775771718798539
2014-12-03,-2.1098905411011986,-1.0,-1.0,-0.6901443254404862
2014-12-04,-1.7027456353969184,-1.0,-1.0,-0.6901443254404862
2014-12-05,-1.7693833505541392,-1.0,-1.0,-0.6901443254404862
2014-12-08,-1.948333861761056,-1.0,-1.0,-0.680697189071588
2014-12-09,-1.6103163863985623,-1.0,-1.0,-0.680697189071588
2014-12-10,-1.8725158575819316,-1.0,-1.0,-0.6613053608284847
2014-12-11,-1.6545465599480513,-1.0,-1.0,-0.6613053608284847
2014-12-12,-1.5253449872203786,-1.0,-1.0,-0.6613053608284847
2014-12-15,-1.8960074670449707,-1.0,-1.0,-0.642440969815263
2014-12-16,-2.0322976500545424,-1.0,-1.0,-0.642440969815263
2014-12-17,-2.003880416030802,-1.0,-1.0,-0.6547720805548315
2014-12-18,-2.2151371464296545,-1.0,-1.0,-0.6547720805548315
2014-12-19,-1.8321433253580337,-1.0,-1.0,-0.6547720805548315
2014-12-22,-2.013932714321927,-1.0,-1.0,-0.626787429762214
2014-12-23,-2.1039362859810464,-1.0,-1.0,-0.626787429762214
2014-12-24,-2.2055094314653703,-1.0,-1.0,-0.6353801783047849
2014-12-25,-2.186145393410001,-1.0,-1.0,-0.6353801783047849
2014-12-26,-2.167105888347848,-1.0,-1.0,-0.6353801783047849
2014-12-29,-2.1941744505714498,-1.0,-1.0,-0.6568572146415846
2014-12-30,-2.024122222767472,-1.0,-1.0,-0.6568572146415846
2014-12-31,-2.1147283534794346,-1.0,-1.0,-0.6650165855671318
2015-01-01,-2.0949209180792963,-1.0,-1.0,-0.6650165855671318
2015-01-02,-2.27090491098456,-1.0,-1.0,-0.6650165855671318
2015-01-05,-2.7183132882624865,-1.0,-1.0,-0.6445116031198239
2015-01-06,-2.6840130355733685,-1.0,-1.0,-0.6445116031198239
2015-01-07,-2.7763684224616645,-1.0,-1.0,-0.7839882188935982
2015-01-08,-2.7862592492734235,-1.0,-1.0,-0.7839882188935982
2015-01-09,-2.805003552833745,-1.0,-1.0,-0.7839882188935982
2015-01-12,-3.062462443181925,-1.0,-1.0,-0.8348962267085726
2015-01-13,-3.647336838925687,-1.0,-1.0,-0.8348962267085726
2015-01-14,-4.7990477337213635,-1.0,-1.0,-0.5121369958401989
2015-01-15,-4.270443329305694,-1.0,-1.0,-0.5121369958401989
2015-01-16,-3.7957889138303376,-1.0,-1.0,-0.5121369958401989
2015-01-19,-3.8413287141788572,-1.0,-1.0,-0.4853144609888965
2015-01-20,-3.6582602293292923,-1.0,-1.0,-0.4853144609888965
2015-01-21,-3.267865949300338,-1.0,-1.0,-0.47592118445931814
2015-01-22,-3.558691621473004,-1.0,-1.0,-0.47592118445931814
2015-01-23,-3.9586170632608497,-1.0,-1.0,-0.47592118445931814
2015-01-26,-3.630367441731004,-1.0,-1.0,-0.4424217478711812
2015-01-27,-4.0525290444996545,-1.0,-1.0,-0.4424217478711812
2015-01-28,-3.7145495095804426,-1.0,-1.0,-0.424941900001715
2015-01-29,-3.885731198355171,-1.0,-1.0,-0.424941900001715
2015-01-30,-3.459217116866384,-1.0,-1.0,-0.424941900001715
2015-02-02,-3.3555575785012377,-1.0,-1.0,-0.40231818611053866
2015-02-03,-2.716949913089423,-1.0,-1.0,-0.40231818611053866
2015-02-04,-2.6276694263611025,-1.0,-1.0,-0.36441339210276913
2015-02-05,-2.543071539030718,-1.0,-1.0,-0.36441339210276913
2015-02-06,-2.702918321426929,-1.0,-1.0,-0.36441339210276913
2015-02-09,-2.592489414605869,-1.0,-1.0,-0.36254599480159
2015-02-10,-2.7692986826015513,-1.0,-1.0,-0.36254599480159
2015-02-11,-2.7053820527618924,-1.0,-1.0,-0.36048996260549776
2015-02-12,-2.276917343579768,-1.0,-1.0,-0.36048996260549776
2015-02-13,-2.258665170104536,-1.0,-1.0,-0.36048996260549776
2015-02-16,-2.1903325731021233,-1.0,-1.0,-0.34876973704664277
2015-02-17,-2.425297860539763,-1.0,-1.0,-0.34876973704664277
2015-02-18,-2.1369830136466863,-1.0,-1.0,-0.338000541269925
2015-02-19,-2.0968611625758697,-1.0,-1.0,-0.338000541269925
2015-02-20,-2.2183058517078607,-1.0,-1.0,-0.338000541269925
