date,price,ret,pos,pos_for_ret_t,trade,cost,pnl_gross,pnl_net
2004-05-21,2663.0,0.028582464271919683,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-24,2690.0,0.010138941043935423,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-25,2679.0,-0.004089219330855043,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-05-26,2688.0,0.0033594624860022737,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-27,2774.0,0.03199404761904767,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-28,2774.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2004-05-31,2774.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2004-06-01,2816.0,0.015140591204037435,0.0,0.0,0.0,-0.0,0.0,0.0
2004-06-02,2748.0,-0.024147727272727293,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-06-03,2744.0,-0.0014556040756914523,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-06-04,2698.0,-0.01676384839650147,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-06-07,2775.0,0.028539659006671547,0.0,0.0,0.0,-0.0,0.0,0.0
2004-06-08,2714.0,-0.02198198198198198,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-06-09,2602.0,-0.041267501842299215,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-06-10,2570.0,-0.012298232129131392,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-06-11,2554.0,-0.006225680933852118,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-06-14,2547.0,-0.0027407987470634554,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-06-15,2610.0,0.02473498233215543,0.0,0.0,0.0,-0.0,0.0,0.0
2004-06-16,2585.0,-0.009578544061302652,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-06-17,2630.0,0.01740812379110257,0.0,0.0,0.0,-0.0,0.0,0.0
2004-06-18,2615.0,-0.005703422053231932,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-06-21,2624.0,0.0034416826003824674,0.0,0.0,0.0,-0.0,0.0,0.0
2004-06-22,2550.5,-0.028010670731707266,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-06-23,2585.0,0.013526759458929671,0.0,0.0,0.0,-0.0,0.0,0.0
2004-06-24,2678.0,0.03597678916827851,0.0,0.0,0.0,-0.0,0.0,0.0
2004-06-25,2650.0,-0.010455563853622118,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-06-28,2657.0,0.0026415094339622414,0.0,0.0,0.0,-0.0,0.0,0.0
2004-06-29,2583.0,-0.027850959729017744,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-06-30,2650.0,0.025938830816879532,0.0,0.0,0.0,-0.0,0.0,0.0
2004-07-01,2690.0,0.015094339622641506,0.0,0.0,0.0,-0.0,0.0,0.0
2004-07-02,2681.0,-0.0033457249070631967,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-07-05,2735.0,0.020141738157404054,0.0,0.0,0.0,-0.0,0.0,0.0
2004-07-06,2669.0,-0.02413162705667271,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-07-07,2749.0,0.029973772948669986,0.0,0.0,0.0,-0.0,0.0,0.0
2004-07-08,2744.0,-0.0018188432157147938,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-07-09,2794.5,0.018403790087463623,0.0,0.0,0.0,-0.0,0.0,0.0
2004-07-12,2778.0,-0.005904455179817525,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-07-13,2774.5,-0.001259899208063353,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-07-14,2791.0,0.005947017480627093,0.0,0.0,0.0,-0.0,0.0,0.0
2004-07-15,2806.0,0.005374417771408124,0.0,0.0,0.0,-0.0,0.0,0.0
2004-07-16,2837.0,0.01104775481111897,0.0,0.0,0.0,-0.0,0.0,0.0
2004-07-19,2826.0,-0.0038773352132533967,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-07-20,2784.0,-0.014861995753715496,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-07-21,2757.5,-0.009518678160919558,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-07-22,2793.0,0.012873980054397105,0.0,0.0,0.0,-0.0,0.0,0.0
2004-07-23,2714.0,-0.02828499820981023,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-07-26,2713.0,-0.0003684598378776993,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-07-27,2663.0,-0.018429782528566196,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-07-28,2735.0,0.027037176117161055,0.0,0.0,0.0,-0.0,0.0,0.0
2004-07-29,2786.0,0.0186471663619745,0.0,0.0,0.0,-0.0,0.0,0.0
2004-07-30,2816.0,0.01076812634601576,0.0,0.0,0.0,-0.0,0.0,0.0
2004-08-02,2818.0,0.0007102272727272929,0.0,0.0,0.0,-0.0,0.0,0.0
2004-08-03,2807.0,-0.0039034776437189,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-08-04,2802.0,-0.0017812611328821282,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-08-05,2789.0,-0.004639543183440398,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-08-06,2782.0,-0.0025098601649337082,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-08-09,2718.0,-0.023005032350826737,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-08-10,2736.0,0.0066225165562914245,0.0,0.0,0.0,-0.0,0.0,0.0
2004-08-11,2765.0,0.010599415204678442,0.0,0.0,0.0,-0.0,0.0,0.0
2004-08-12,2772.0,0.0025316455696202667,0.0,0.0,0.0,-0.0,0.0,0.0
2004-08-13,2857.0,0.030663780663780615,0.0,0.0,0.0,-0.0,0.0,0.0
2004-08-16,2831.0,-0.009100455022751142,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-08-17,2823.0,-0.0028258565877781194,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-08-18,2761.0,-0.021962451292950713,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-08-19,2796.0,0.012676566461427008,0.0,0.0,0.0,-0.0,0.0,0.0
2004-08-20,2765.0,-0.011087267525035749,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-08-23,2713.0,-0.018806509945750505,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-08-24,2735.5,0.008293402137854677,0.0,0.0,0.0,-0.0,0.0,0.0
2004-08-25,2706.0,-0.010784134527508704,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-08-26,2733.0,0.009977827050997812,0.0,0.0,0.0,-0.0,0.0,0.0
2004-08-27,2764.0,0.011342846688620511,0.0,0.0,0.0,-0.0,0.0,0.0
2004-08-30,2764.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2004-08-31,2784.0,0.00723589001447178,0.0,0.0,0.0,-0.0,0.0,0.0
2004-09-01,2774.0,-0.0035919540229885083,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-09-02,2732.0,-0.015140591204037546,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-09-03,2701.0,-0.011346998535871178,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-09-06,2723.0,0.00814513143280271,0.0,0.0,0.0,-0.0,0.0,0.0
2004-09-07,2754.5,0.011568123393316254,0.0,0.0,0.0,-0.0,0.0,0.0
2004-09-08,2735.0,-0.007079324741332327,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-09-09,2751.0,0.005850091407678226,0.0,0.0,0.0,-0.0,0.0,0.0
2004-09-10,2788.5,0.0136314067611778,0.0,0.0,0.0,-0.0,0.0,0.0
2004-09-13,2786.0,-0.0008965393580778747,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-09-14,2769.0,-0.006101938262742301,0.0,0.0,0.0,-0.0,-0.0,-0.0
2004-09-15,2767.0,-0.0007222824124232252,0.0,0.0,0.0,-0.0,-0.0,-0.0
