date,regime,sizing,sizing_smooth,vix,copper_adx
2011-11-24,NORMAL,1.0,0.9999999713903664,33.98,39.86787504187987
2011-11-25,NORMAL,1.0,0.9999999765921179,34.47,42.86939104987189
2011-11-28,NORMAL,1.0,0.9999999808480964,32.13,37.61709290256436
2011-11-29,NORMAL,1.0,0.9999999843302607,30.64,33.065101174897826
2011-11-30,NORMAL,1.0,0.9999999871793042,27.8,34.404440812404374
2011-12-01,NORMAL,1.0,0.9999999895103397,27.41,35.565201831576715
2011-12-02,NORMAL,1.0,0.9999999914175506,27.52,36.629040696682935
2011-12-05,NORMAL,1.0,0.9999999929779959,27.84,38.15982843482628
2011-12-06,NORMAL,1.0,0.999999994254724,28.13,37.64808115269919
2011-12-07,NORMAL,1.0,0.9999999952993195,28.67,36.694830577256134
2011-12-08,NORMAL,1.0,0.9999999961539887,30.59,32.49158993689933
2011-12-09,NORMAL,1.0,0.9999999968532634,26.38,28.848781381923434
2011-12-12,NORMAL,1.0,0.9999999974253972,25.67,27.066086480811535
2011-12-13,NORMAL,1.0,0.9999999978935068,25.41,25.666475713806246
2011-12-14,NORMAL,1.0,0.9999999982765055,26.04,29.92394902415125
2011-12-15,NORMAL,1.0,0.9999999985898682,25.11,33.613759226450256
2011-12-16,NORMAL,1.0,0.9999999988462558,24.29,32.952702466544046
2011-12-19,NORMAL,1.0,0.9999999990560273,24.92,32.37978660795866
2011-12-20,NORMAL,1.0,0.9999999992276587,23.22,30.06450991783752
2011-12-21,NORMAL,1.0,0.9999999993680844,21.43,26.86053856593374
2011-12-22,NORMAL,1.0,0.999999999482978,21.16,24.530557302995156
2011-12-23,NORMAL,1.0,0.9999999995769819,20.73,24.519750390969364
2011-12-26,NORMAL,1.0,0.9999999996538942,20.73,24.51038440054701
2011-12-27,NORMAL,1.0,0.9999999997168225,21.91,24.502267208847638
2011-12-28,NORMAL,1.0,0.9999999997683093,23.52,23.085511188340103
2011-12-29,MILD_CHOP,0.75,0.9545454543558893,22.65,22.715735097083787
