dt,signal_raw,signal_exec,position_raw_t1,position_vt
2001-11-06,0.0,0.0,0.0,0.0
2001-11-07,1.0,0.0,0.0,0.0
2001-11-08,0.0,0.0,0.0,0.0
2001-11-09,-1.0,0.0,0.0,0.0
2001-11-12,-1.0,1.0,0.0,0.0
2001-11-13,-1.0,1.0,1.0,0.46928856520823026
2001-11-14,-1.0,-1.0,1.0,0.40655922405560146
2001-11-15,-1.0,-1.0,-1.0,-0.40655922405560146
2001-11-16,-1.0,-1.0,-1.0,-0.40655922405560146
2001-11-19,-1.0,-1.0,-1.0,-0.410816553328419
2001-11-20,0.0,-1.0,-1.0,-0.410816553328419
2001-11-21,0.0,0.0,-1.0,-0.4135088143356429
2001-11-22,0.0,0.0,0.0,0.0
2001-11-23,0.0,0.0,0.0,0.0
2001-11-26,-1.0,0.0,0.0,0.0
2001-11-27,-1.0,0.0,0.0,0.0
2001-11-28,-1.0,-1.0,0.0,0.0
2001-11-29,-1.0,-1.0,-1.0,-0.4166968586877081
2001-11-30,-1.0,-1.0,-1.0,-0.4166968586877081
2001-12-03,0.0,-1.0,-1.0,-0.4114982214965945
2001-12-04,0.0,-1.0,-1.0,-0.4114982214965945
2001-12-05,1.0,0.0,-1.0,-0.39897972292002487
2001-12-06,1.0,0.0,0.0,0.0
2001-12-07,1.0,0.0,0.0,0.0
2001-12-10,1.0,1.0,0.0,0.0
2001-12-11,0.0,1.0,1.0,0.4440713482811546
2001-12-12,1.0,0.0,1.0,0.5046080801266465
2001-12-13,1.0,0.0,0.0,0.0
2001-12-14,1.0,0.0,0.0,0.0
2001-12-17,0.0,1.0,0.0,0.0
2001-12-18,0.0,1.0,1.0,0.5495937977824131
2001-12-19,0.0,0.0,1.0,0.5508124773816352
2001-12-20,0.0,0.0,0.0,0.0
2001-12-21,0.0,0.0,0.0,0.0
2001-12-24,0.0,0.0,0.0,0.0
2001-12-25,0.0,0.0,0.0,0.0
2001-12-26,0.0,0.0,0.0,0.0
2001-12-27,0.0,0.0,0.0,0.0
2001-12-28,0.0,0.0,0.0,0.0
2001-12-31,0.0,0.0,0.0,0.0
2002-01-01,0.0,0.0,0.0,0.0
2002-01-02,1.0,0.0,0.0,0.0
2002-01-03,1.0,0.0,0.0,0.0
2002-01-04,0.0,0.0,0.0,0.0
2002-01-07,-1.0,1.0,0.0,0.0
2002-01-08,-1.0,1.0,1.0,0.46581602506500003
2002-01-09,-1.0,-1.0,1.0,0.4658716054272717
2002-01-10,-1.0,-1.0,-1.0,-0.4658716054272717
2002-01-11,0.0,-1.0,-1.0,-0.4658716054272717
2002-01-14,0.0,-1.0,-1.0,-0.4723039452319281
2002-01-15,0.0,-1.0,-1.0,-0.4723039452319281
2002-01-16,0.0,0.0,-1.0,-0.46815258702423507
2002-01-17,0.0,0.0,0.0,0.0
2002-01-18,0.0,0.0,0.0,0.0
2002-01-21,0.0,0.0,0.0,0.0
2002-01-22,0.0,0.0,0.0,0.0
2002-01-23,0.0,0.0,0.0,0.0
2002-01-24,0.0,0.0,0.0,0.0
2002-01-25,0.0,0.0,0.0,0.0
2002-01-28,0.0,0.0,0.0,0.0
2002-01-29,0.0,0.0,0.0,0.0
2002-01-30,0.0,0.0,0.0,0.0
2002-01-31,-1.0,0.0,0.0,0.0
2002-02-01,-1.0,0.0,0.0,0.0
2002-02-04,-1.0,0.0,0.0,0.0
2002-02-05,-1.0,0.0,0.0,0.0
2002-02-06,0.0,-1.0,0.0,0.0
