low_vol_threshold,medium_vol_threshold,low_vol_scale,medium_vol_scale,high_vol_scale,momentum_window,entry_threshold,exit_threshold,adx_trending_threshold,adx_window,weekly_vol_updates,update_frequency,use_regime_scaling,vol_window,vol_percentile_window,sharpe,annual_return,annual_vol,activity_pct,long_pct,short_pct
0.35,0.7,1.5,1.0,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.5002640995986222,0.10624471197655047,0.21237724646200676,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.7,1.0,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.49972415994477526,0.12139599100064523,0.24292599944349452,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.5,0.8,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.4996122564814902,0.10775744940129899,0.21568215751987105,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.5,0.6,0.9,20,0.012,0.003,20,14,True,5,True,63,252,0.49842302115283876,0.1108543234577133,0.22241011902161,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.7,1.3,0.8,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.4980403599523573,0.09197251572453789,0.18466880020192747,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.3,0.6,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.49798859832408476,0.09424403007649397,0.1892493731656907,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.5,0.8,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.4979418381707122,0.10763232712675776,0.2161544157891339,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.75,1.3,0.6,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.49610482413678847,0.09411890780195273,0.18971576816596689,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.7,1.0,0.7,20,0.012,0.003,20,14,True,5,True,63,252,0.4952777740828524,0.12102062417702153,0.2443489906267763,70.09081735620585,38.20383451059536,31.886982845610497
0.35,0.8,1.7,1.0,0.5,20,0.012,0.003,20,14,True,5,True,63,252,0.4951246361170519,0.11652813012625333,0.2353511048048618,70.09081735620585,38.20383451059536,31.886982845610497
